"","feature","id.x","formula","compound","pubchem","ionmass","NPC_pathway","NPC_superclass","NPC_class","ClassyFire_superclass","ClassyFire_class","ClassyFire_subclass","ClassyFire_level5","ClassyFire_most_specific","id.y","datafile.con_1.mzML.area","datafile.con_2.mzML.area","datafile.con_3.mzML.area","datafile.con_4.mzML.area","datafile.con_5.mzML.area","datafile.con_6.mzML.area","datafile.con_7.mzML.area","datafile.con_8.mzML.area","datafile.le1_1.mzML.area","datafile.le1_2.mzML.area","datafile.le1_3.mzML.area","datafile.le1_4.mzML.area","datafile.le1_5.mzML.area","datafile.le1_6.mzML.area","datafile.le1_7.mzML.area","datafile.le1_8.mzML.area","datafile.sl1_1.mzML.area","datafile.sl1_2.mzML.area","datafile.sl1_3.mzML.area","datafile.sl1_4.mzML.area","datafile.sl1_5.mzML.area","datafile.sl1_6.mzML.area","datafile.sl1_7.mzML.area","datafile.sl1_8.mzML.area","id","ctrl_vs_sl1_log2FC","ctrl_vs_sl1_padj","ctrl_vs_le1_log2FC","ctrl_vs_le1_padj"
"1","1000.1923_8.4524","3420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3420",1.04317375886525,1.05439068100358,0.996527777777778,844.241952054794,0.972800925925926,1.06585144927536,1.09440104166667,1.00883058984911,1.02786512928022,0.935671119592875,0.94286858974359,1.04095895258316,1.06353940708604,1.07520102339181,0.97473492379059,568.61498951782,2901.4269470405,4468.22508591065,8414.00727767115,1779.41297468354,3256.19866385373,2547.87552301255,2682.49129353234,1085.71228652751,"3420",4.99406057633257,0.017103106228417,-0.564712495341481,0.847859449643191
"2","1007.19475_6.3725","2934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2934",1296.6649822695,976.57664874552,1428.02430555556,1233.88470319635,1348.30208333333,263.47847826087,349.551692708333,279.849605624143,1.02786512928022,920.700381679389,0.94286858974359,1.04095895258316,1.06353940708604,1.07520102339181,0.97473492379059,1.02786512928022,1753.13637071651,5632.7941580756,1358.88899552143,1262.52320675106,2323.19637834037,1711.91797419805,2055.25248756219,1886.73908918406,"2934",1.32543129117645,0.079424070958753,-2.95127792890747,0.0251903659914493
"3","1007.4658_19.3761","4661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4661",3014.77216312057,2213.16603942652,1869.48611111111,2383.33561643836,1702.40162037037,2192.45643115942,2880.46354166667,2335.44281550069,3691.06367924528,2666.66269083969,2891.77796474359,3346.68303255485,3405.45318148952,3142.81259137427,2948.57314446653,3316.92077218728,3867.34735202492,4502.59604810997,3348.28742802303,3960.45727848101,3609.95341068917,3307.93017782427,3662.02922885572,3141.7741144845,"4661",0.66118949535252,0.000363501747938313,0.450748306252497,0.00932689423851206
"4","1008.04508_8.4491","3421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3421",1.04317375886525,1.05439068100358,0.996527777777778,0.959474885844749,0.972800925925926,1.06585144927536,1.09440104166667,1.00883058984911,1.02786512928022,0.935671119592875,0.94286858974359,1.04095895258316,1.06353940708604,1.07520102339181,0.97473492379059,1.02786512928022,2143.53683800623,3418.89982817869,5932.43506078055,843.957753164557,1628.09933192686,2070.91814853556,1389.33395522388,753.951359898798,"3421",11.115331066159,0.0246802332289798,-0.0189147465711333,0.708892471882839
"5","1009.53653_14.9037","3747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3747",1.04317375886525,1.05439068100358,0.996527777777778,0.959474885844749,0.972800925925926,1.06585144927536,1.09440104166667,1.00883058984911,1.02786512928022,0.935671119592875,0.94286858974359,1.04095895258316,1.06353940708604,1.07520102339181,261.131486083499,238.978642557652,4572.08434579439,5724.78702749141,885.065858925144,856.636181434599,1542.24657172996,5607.58272315202,2008.20957711443,185.696805819102,"3747",11.3493066755507,0.0387367937011931,5.94872959747551,0.339475720699649
"6","1013.56733_18.051","4162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4162",6742.0320035461,5818.12777777778,5896.45486111111,6395.8595890411,4546.87152777778,1848.18641304348,3092.77734375,1594.96116255144,3047.62010831586,1914.38311068702,1331.33044871795,1316.81307501769,1828.22424078091,261.058808479532,1938.74776341948,4111.4605171209,6903.48995327103,22270.3616838488,8801.72352847089,5810.79852320675,11791.8248945148,10441.7764993027,11426.2002487562,4591.25118595825,"4162",1.19088168268945,0.0597836273934675,-1.19008187725669,0.0518935116063146
"7","1025.47636_19.3761","4662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4662",24368.5390070922,20138.8620071685,18595.2083333333,17970.9646118721,17442.3206018519,18705.6929347826,23015.25390625,19460.3420781893,25234.0889238295,20004.6485368957,21110.827724359,24129.4285208776,23397.866955893,24654.3594663743,24446.351888668,25244.3675751223,31479.4742990654,37808.058419244,30452.6647472809,32307.8270042194,29138.2199367089,30114.9860529986,32783.6815920398,31445.651486401,"4662",0.67815699086717,1.06931710494693e-05,0.237095933094517,0.0374702990889741
"8","1027.49193_19.9817","5056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5056",5988.86054964539,4849.14274193548,4592,4017.32134703196,4319.23611111111,4849.6240942029,5493.89322916667,4783.87465706447,5633.7287735849,4916.95173346056,4631.37051282051,6078.15932413305,5709.07953723789,5638.35416666667,5757.75919483101,6259.69863731656,7014.37834890966,9891.76073883162,7711.97736724248,6994.41402953586,6927.17994022504,6469.18314156206,7269.69776119403,6308.66753636939,"5056",0.591041090795423,0.00179381199096232,0.19830960183817,0.0971740636069965
"9","1028.49516_19.9825","5059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5059",4185.21312056738,2418.77222222222,2445.47916666667,2241.33333333333,2736.48900462963,3054.73025362319,2645.16731770833,2824.7256515775,3046.59224318658,2552.51081424936,2358.11434294872,3649.60208775655,3024.70607375271,3448.16968201754,3061.64239562624,3364.20256813417,4406.20996884735,6314.14793814433,4972.55502239283,4212.2526371308,4188.16657876231,4125.42486052999,3481.17537313433,3903.72643896268,"5059",0.658775877651832,0.00499886091332288,0.119858320277266,0.562082793226046
"10","1035.49692_20.1793","5165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5165",1.04317375886525,1.05439068100358,0.996527777777778,0.959474885844749,322.483506944444,1.06585144927536,1.09440104166667,281.060202331962,220.37428371768,285.660392811705,0.94286858974359,375.265702406228,652.800488069414,857.472816154971,591.956519218025,1281.74781621244,11583.7133956386,13728.1666666667,11339.7592770314,11951.4135021097,11926.2930731364,2973.54715829847,12387.9664179104,10726.8746046806,"5165",7.15028295548041,0.000434681346973373,2.80665109270309,0.063033633524706
